"","Distrito","Dirección","Tipo de Inmueble","Descripción","Habitaciones Disponibles","Precio Mensual","Notas","driving.time","driving.metros","walking.time","walking.metros"
"35","Ardeatino","Via dell'Accademia Antiquaria","Appartamento","Ingresso, soggiorno, 5 camere, cucina, 3 bagni","2 singole","€ 550; TUTTO INCLUSO","disponibile dal 1° Marzo e dal 1° Aprile per ragazzi/ragazze Metro B San Paolo Autobus 716 - 766 – 770","1904","18586","9943","13263"
"36","Ardeatino","Via Laurentina 197","Appartamento","Ingresso, soggiorno, 3 camere, cucina, 2 bagni","2 singole","€ 380; condominio, acqua e riscaldamento inclusi","disponibile per ragazzi Metro B Marconi Autobus 716 - 766 – 770","1921","41424","10101","13520"
"37","Ardeatino","Via Roberto Ferruzzi","Mini Appartamento","camera, angolo cottura, bagno, terrazzo","Intero appartamento","€ 750; spese escluse","disponibile per ragazzi/ragazze Metro B San Paolo Autobus 716 - 766 – 770","2057","38240","12317","16703"
"38","Ardeatino","Via Ardeatina","Appartamento","Appartamento su due livelli. Ingresso, soggiorno con angolo cottura, 1 camera, 2 bagni","Intero appartamento","€ 1000; spese escluse","disponibile per ragazzi/ragazze Autobus 669 - 670 - 716 – 769","1846","18583","9750","13194"
"39","Ardeatino","Via Adolfo Rava'","Appartamento","Ingresso, soggiorno, 4 camere, cucina, 2 bagni","1 singola","€ 450 TUTTO INCLUSO","APT da condividere con i proprietari Metro B San Paolo Autobus 716, 769, 792","1988","42230","10202","13597"
"40","Baldo degli Ubaldi","Via Aurelia","Appartamento","Ingresso, cucina, 2 camere, bagno","1 posto letto","€ 300; condominio e acqua inclusi","disponibile dal 1° Marzo per ragazze Metro A Baldo degli Ubaldi","1845","40381","25360","34079"
"41","Baldo degli Ubaldi","Via Aurelia","Appartamento","Ingresso, salone doppio, cucina, 3 camere,
2 bagni","2 singole","€ 350; € 450; condominio e acqua inclusi","disponibile per ragazzi/ragazze Metro A Baldo degli Ubaldi NO ERASMUS","1845","40381","25360","34079"
"42","Baldo degli Ubaldi","via Baldo degli Ubaldi","Appartamento","Ingresso, cucina, 4 camere, 2 bagni","4 singole","€ 500; € 450; € 450; € 420 condominio, acqua, riscaldamento e tassa rifiuti inclusi","disponibile per ragazze Metro A Baldo degli Ubaldi","1465","17113","7589","10316"
"43","Balduina","Via Lattanzio","Appartamento","Ingresso, 3 camere, doppio salone, cucina e 2 bagni","2 singole","€  450; € 500; condominio, acqua e tassa rifiuti inclusi","disponibile per ragazze Metro A Baldo degli Ubaldi","18650","560242","447502","591788"
"44","Bravetta","Via del Fontanile Arenato","Appartamento","Ingresso, soggiorno, 4 camere, cucina, 4 bagni","3 singole con bagno privato","€ 400; € 370; € 340; spese escluse","disponibile per ragazze Autobus 98-881","1501","28315","9514","12999"
"45","Centro","Via di Panico","Appartamento","Ingresso, camera, cucina living, bagno","Mini Appartamento","€ 1200; condominio incluso","disponibile per ragazzi/ragazze Autobus e Metro","1564","13037","5835","7843"
"46","Cipro","Via Bragadin","Appartamento","Ingresso, cucina, 3 camere, 2 bagni","1 singola","€ 470; spese escluse","disponibile per ragazze Metro A Cipro","22263","530417","345894","474896"
"47","Cornelia","Piazza di villa Carpegna","Appartamento","Ingresso, cucina, 4 camere, soggiorno, 2 bagni , balcone","1 singola","€ 350; spese escluse","disponibile per ragazzi Metro A Cornelia","1426","16860","8187","11242"
"48","Cornelia","Largo Boccea","Appartamento","Ingresso, 2 camere, cucina, bagno","1 singola","€ 450 TUTTO INCLUSO ad eccezione di internet","Disponibile per ragazzi/ragazze Metro A Cornelia","1309","16252","8224","11224"
"49","Cornelia","Via Giovanni Tamassia","Appartamento","Ingresso, salone/living, angolo cottura, 2 camere, bagno","Intero Appartamento","€ 1000; spese escluse","Disponibile per ragazze/ragazzi Metro A Cornelia","1353","16299","8594","11687"
"50","Cornelia","Piazza Giureconsulti","Appartamento","Ingresso, salone living con cucina, 2 camere, bagno","Intero appartamento","€ 1100; spese escluse","Disponibile per ragazze/ragazzi Metro A Cornelia","1113","14773","9414","12819"
"51","Gianicolense","Piazza Fonteiana","Appartamento","Ingresso, salone, cucina, 3 camere, 2 bagni","1 singola","€ 450; condominio, acqua, tassa rifiuti inclusi","disponibile per ragazzi Stazione Quattro Venti","1858","18207","7958","10551"
